_time:creation_date	_time:curator	_time:implementation_date	_time:release_version	_time:update_date	acc:assembly_genbank	acc:bacdive	acc:bioproject	acc:biosample	acc:genbank	annotation:date	annotation:features	annotation:provider	annotation:sw_name	annotation:sw_release	asmbl:sequences	asmbl:sw_name	asmbl:sw_release	bin:sw_name	bin:sw_release	gen:cds	gen:complete_rrnas	gen:completeness	gen:contamination	gen:contigs	gen:frameshifted_genes	gen:gc_content	gen:genes	gen:length	gen:n50	gen:ncrna	gen:num_replicons	gen:partial_rrnas	gen:plasmids	gen:pseudo_genes	gen:qs	gen:rrnas	gen:strain_heterogeneity	gen:total_trnas	gen:unique_trnas	host:age	host:disease	host:health_stage	host:other_clinical	host:pathogenicity	host:sample_site	host:sample_subsite	host:sex	host:species	host:synonym	id	isol:alt_elev	isol:analysis_project_type	isol:collected_by	isol:collection_date	isol:country	isol:culture_collection	isol:depth	isol:env_biome	isol:env_feature	isol:env_material	isol:env_package	isol:env_salinity	isol:env_temp	isol:growth_condt	isol:investigation_type	isol:isolation_comments	isol:isolation_source	isol:lat_lon	isol:location	isol:project_name	isol:ref_biomaterial	isol:sample_type	isol:world_region	map:sw_name	map:sw_release	pheno:biovar	pheno:cell_shape	pheno:gram_stain	pheno:halotolerance	pheno:motility	pheno:optimal_temp	pheno:other_typing	pheno:oxygen_requirement	pheno:pathovar	pheno:serovar	pheno:sporulation	pheno:temp_range	pheno:type_strain	proj:comments	proj:genome_status	proj:publication	proj:silva_accession_LSU	proj:silva_accession_SSU	proj:uniprot_proteome_id	quality:sw_name	quality:sw_release	secmet:antismash_clusters	secmet:antismash_types	secmet:sw_name	secmet:sw_release	seq:center	seq:depth	seq:method	tax:class	tax:family	tax:fastani_ani	tax:fastani_ref	tax:genus	tax:gtdb_classification	tax:kingdom	tax:order	tax:organism	tax:phylum	tax:species	tax:strain	tax:sw_name	tax:sw_release
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_015679265.1		bioproject:PRJNA678847	biosample:SAMN16815333	ena.embl:CP064942						resource_sequence:GCA_015679265.1	SMRT Analysis§biotools:smrt_analysis	v. 2.3							1		67.17494		4199362			1		0																	mmp.ref:MMP16815333	-6477	Whole genome sequencing (WGS)		2019-12-11		MCCC:1K05575<§eco:0007758>pubmed:34520339|JCM:34320<§eco:0007758>pubmed:34520339		Marine benthic biome§envo:01000024<§eco:0000205>Isolation source|Marine abyssal zone biome§envo:01000027<§eco:0000205>Geographic altitude	Marine aphotic zone§envo:00000210<§eco:0000205>Geographic altitude	Sediment§envo:00002007<§eco:0000205>Isolation source	Sediment				Bacteria_Archaea		Deep sea sediment	gmap:10.813000,141.180000<§eco:0007759>ENA BioSample accession	Marinas Trench§GAZ:00002421			Monoisolate	Pacific Ocean region§gaz:00051073<§eco:0000313>Marinas Trench§gaz:00002421				Bacilli (Rod)<§eco:0007758>pubmed:34520339	Negative<§eco:0007758>pubmed:34520339		Yes<§eco:0007758>pubmed:34520339	28<§eco:0007758>pubmed:34520339		Facultative<§eco:0007758>pubmed:34520339					Yes<§eco:0007758>pubmed:34520339	Description of Pontivivens ytuae sp. nov. isolated from deep sea sediment of Mariana Trench	Finished	pubmed:34520339			UP000594800							Yantai University	120	Pacific Biosciences Technology	Alphaproteobacteria§taxonomy:28211<§eco:0000313>Pontivivens ytuae§taxonomy:2789856	Rhodobacteraceae§taxonomy:31989<§eco:0000313>Pontivivens ytuae§taxonomy:2789856			Pontivivens§taxonomy:1844015<§eco:0000313>Pontivivens ytuae§taxonomy:2789856			Rhodobacterales§taxonomy:204455<§eco:0000313>Pontivivens ytuae§taxonomy:2789856	Pontivivens ytuae§taxonomy:2789856	Proteobacteria§taxonomy:1224<§eco:0000313>Pontivivens ytuae§taxonomy:2789856	Pontivivens ytuae§taxonomy:2789856<§eco:0000313>Pontivivens ytuae§taxonomy:2789856	MT2928		
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_015841355.1		bioproject:PRJNA657291	biosample:SAMN16790668	ena.embl:CP064908						resource_sequence:GCA_015841355.1	Falcon§biotools:FALCON	v. 0.3.0														1		0																	mmp.ref:MMP16790668		Whole genome sequencing (WGS)		2011-02-01<§eco:0007758>pubmed:26986796	USA§gaz:00002459<§eco:0000313>Inner Harbor§gaz:00156985			Inner Harbor (GAZ:00156985)<§eco:0007758>pubmed:26986796	Harbor§envo:00000463<§eco:0000205>Isolation location	Liquid water§envo:00002006<§eco:0007758>pubmed:26986796	Water	80<§eco:0007758>pubmed:26986796	2.5<§eco:0007758>pubmed:26986796		Bacteria_Archaea		Chesapeake Bay estuary	gmap:39.283400,-76.605400<§eco:0007758>pubmed:26986796	Inner Harbor§GAZ:00156985<§eco:0007758>pubmed:26986796			Multispecies	Atlantic Ocean region§gaz:00051071<§eco:0000313>Inner Harbor§gaz:00156985				Bacilli (Rod)<§eco:0007758>pubmed:26986796												Complete genomes of five Synechococcus strains isolated from the Chesapeake Bay during winter	Finished	pubmed:26986796			UP000594748							University of Maryland Center For Environmental Science	10	Illumina HiSeq Platform|PacBio Sequel Platform§rrid:SCR_017989		Synechococcaceae§taxonomy:1890426<§eco:0000313>Synechococcus sp. CBW1107§taxonomy:2789857			Synechococcus§taxonomy:1129<§eco:0000313>Synechococcus sp. CBW1107§taxonomy:2789857			Synechococcales§taxonomy:1890424<§eco:0000313>Synechococcus sp. CBW1107§taxonomy:2789857	Synechococcus sp. CBW1107§taxonomy:2789857	Cyanobacteria§taxonomy:1117<§eco:0000313>Synechococcus sp. CBW1107§taxonomy:2789857	Synechococcus sp. CBW1107§taxonomy:2789857<§eco:0000313>Synechococcus sp. CBW1107§taxonomy:2789857	CBW1107		
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_015767655.1		bioproject:PRJNA675461	biosample:SAMN16708506	ena.embl:CP065233						resource_sequence:GCA_015767655.1	biotools:SOAPdenovo	v. 6.0.0.47841							1		44.85789		4609080			1		0																	mmp.ref:MMP16708506		Whole genome sequencing (WGS)		2018-04-11				Ocean biome§envo:01000048<§eco:0000205>Isolation location		Sea water§envo:00002149<§eco:0000205>Isolation source	Water				Bacteria_Archaea		Seawater		Pacific Ocean§GAZ:00000360			Monoisolate	Pacific Ocean region§gaz:00051073<§eco:0000313>Pacific Ocean§gaz:00000360																Amino acid recycled	Finished				UP000595000							Shandong university	246.7362	PacBio RS II Platform§rrid:SCR_017988	Gammaproteobacteria§taxonomy:1236<§eco:0000313>Alteromonas sp. B31-7§taxonomy:2785913	Alteromonadaceae§taxonomy:72275<§eco:0000313>Alteromonas sp. B31-7§taxonomy:2785913			Alteromonas§taxonomy:226<§eco:0000313>Alteromonas sp. B31-7§taxonomy:2785913			Alteromonadales§taxonomy:135622<§eco:0000313>Alteromonas sp. B31-7§taxonomy:2785913	Alteromonas sp. B31-7§taxonomy:2785913	Proteobacteria§taxonomy:1224<§eco:0000313>Alteromonas sp. B31-7§taxonomy:2785913	Alteromonas sp. B31-7§taxonomy:2785913<§eco:0000313>Alteromonas sp. B31-7§taxonomy:2785913	B31-7		
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_015871245.1		bioproject:PRJNA675460	biosample:SAMN16708496	ena.embl:CP065429						resource_sequence:GCA_015871245.1	biotools:SOAPdenovo	v. 6.0.0.47841							1		60.740936		2928325			1		0																	mmp.ref:MMP16708496		Whole genome sequencing (WGS)		2018-04-11				Ocean biome§envo:01000048<§eco:0000205>Isolation location		Sea water§envo:00002149<§eco:0000205>Isolation source	Water				Bacteria_Archaea		Seawater		Pacific Ocean§GAZ:00000360			Monoisolate	Pacific Ocean region§gaz:00051073<§eco:0000313>Pacific Ocean§gaz:00000360																Amino acid recycled	Finished				UP000595032							Shandong university	196.6087	PacBio RS II Platform§rrid:SCR_017988	Alphaproteobacteria§taxonomy:28211<§eco:0000313>Sulfitobacter sp. B30-2§taxonomy:2785912	Roseobacteraceae§taxonomy:2854170<§eco:0000313>Sulfitobacter sp. B30-2§taxonomy:2785912			Sulfitobacter§taxonomy:60136<§eco:0000313>Sulfitobacter sp. B30-2§taxonomy:2785912			Rhodobacterales§taxonomy:204455<§eco:0000313>Sulfitobacter sp. B30-2§taxonomy:2785912	Sulfitobacter sp. B30-2§taxonomy:2785912	Proteobacteria§taxonomy:1224<§eco:0000313>Sulfitobacter sp. B30-2§taxonomy:2785912	Sulfitobacter sp. B30-2§taxonomy:2785912<§eco:0000313>Sulfitobacter sp. B30-2§taxonomy:2785912	B30-2		
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_015767575.1		bioproject:PRJNA675459	biosample:SAMN16708490	ena.embl:CP065232						resource_sequence:GCA_015767575.1	biotools:SOAPdenovo	v. 6.0.0.47841							1		54.797516		4788531			1		0																	mmp.ref:MMP16708490		Whole genome sequencing (WGS)		2018-04-11				Ocean biome§envo:01000048<§eco:0000205>Isolation location		Sea water§envo:00002149<§eco:0000205>Isolation source	Water				Bacteria_Archaea		Seawater		Pacific Ocean§GAZ:00000360			Monoisolate	Pacific Ocean region§gaz:00051073<§eco:0000313>Pacific Ocean§gaz:00000360																Amino acid recycled	Finished				UP000594977							Shandong university	243.1888	PacBio RS II Platform§rrid:SCR_017988	Alphaproteobacteria§taxonomy:28211<§eco:0000313>Thalassospira sp. B30-1§taxonomy:2785911	Thalassospiraceae§taxonomy:2844866<§eco:0000313>Thalassospira sp. B30-1§taxonomy:2785911			Thalassospira§taxonomy:168934<§eco:0000313>Thalassospira sp. B30-1§taxonomy:2785911			Rhodospirillales§taxonomy:204441<§eco:0000313>Thalassospira sp. B30-1§taxonomy:2785911	Thalassospira sp. B30-1§taxonomy:2785911	Proteobacteria§taxonomy:1224<§eco:0000313>Thalassospira sp. B30-1§taxonomy:2785911	Thalassospira sp. B30-1§taxonomy:2785911<§eco:0000313>Thalassospira sp. B30-1§taxonomy:2785911	B30-1		
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_015767615.1		bioproject:PRJNA675457	biosample:SAMN16708469	ena.embl:CP065231						resource_sequence:GCA_015767615.1	biotools:SOAPdenovo	v. 6.0.0.47841							1		41.792522		3561819			1		0																	mmp.ref:MMP16708469		Whole genome sequencing (WGS)		2018-04-11				Ocean biome§envo:01000048<§eco:0000205>Isolation location		Sea water§envo:00002149<§eco:0000205>Isolation source	Water				Bacteria_Archaea		Seawater		Pacific Ocean§GAZ:00000360			Monoisolate	Pacific Ocean region§gaz:00051073<§eco:0000313>Pacific Ocean§gaz:00000360																Amino acid recycled	Finished				UP000595083							Shandong university	141.9778	PacBio RS II Platform§rrid:SCR_017988	Gammaproteobacteria§taxonomy:1236<§eco:0000313>Pseudoalteromonas sp. A41-2§taxonomy:2785910	Pseudoalteromonadaceae§taxonomy:267888<§eco:0000313>Pseudoalteromonas sp. A41-2§taxonomy:2785910			Pseudoalteromonas§taxonomy:53246<§eco:0000313>Pseudoalteromonas sp. A41-2§taxonomy:2785910			Alteromonadales§taxonomy:135622<§eco:0000313>Pseudoalteromonas sp. A41-2§taxonomy:2785910	Pseudoalteromonas sp. A41-2§taxonomy:2785910	Proteobacteria§taxonomy:1224<§eco:0000313>Pseudoalteromonas sp. A41-2§taxonomy:2785910	Pseudoalteromonas sp. A41-2§taxonomy:2785910<§eco:0000313>Pseudoalteromonas sp. A41-2§taxonomy:2785910	A41-2		
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_015767635.1		bioproject:PRJNA675456	biosample:SAMN16708467	ena.embl:CP065230						resource_sequence:GCA_015767635.1	biotools:SOAPdenovo	v. 6.0.0.47841							1		57.285263		4150502			1		0																	mmp.ref:MMP16708467		Whole genome sequencing (WGS)		2018-04-11				Ocean biome§envo:01000048<§eco:0000205>Isolation location		Sea water§envo:00002149<§eco:0000205>Isolation source	Water				Bacteria_Archaea		Seawater		Pacific Ocean§GAZ:00000360			Monoisolate	Pacific Ocean region§gaz:00051073<§eco:0000313>Pacific Ocean§gaz:00000360																Amino acid recycled	Finished				UP000594941							Shandong university	373.1142	PacBio RS II Platform§rrid:SCR_017988	Gammaproteobacteria§taxonomy:1236<§eco:0000313>Halomonas sp. A40-4§taxonomy:2785909	Halomonadaceae§taxonomy:28256<§eco:0000313>Halomonas sp. A40-4§taxonomy:2785909			Halomonas§taxonomy:2745<§eco:0000313>Halomonas sp. A40-4§taxonomy:2785909			Oceanospirillales§taxonomy:135619<§eco:0000313>Halomonas sp. A40-4§taxonomy:2785909	Halomonas sp. A40-4§taxonomy:2785909	Proteobacteria§taxonomy:1224<§eco:0000313>Halomonas sp. A40-4§taxonomy:2785909	Halomonas sp. A40-4§taxonomy:2785909<§eco:0000313>Halomonas sp. A40-4§taxonomy:2785909	A40-4		
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_015871485.1		bioproject:PRJNA675455	biosample:SAMN16708466	ena.embl:CP065428						resource_sequence:GCA_015871485.1	biotools:SOAPdenovo	v. 6.0.0.47841							1		54.92846		4340220			1		0																	mmp.ref:MMP16708466		Whole genome sequencing (WGS)		2018-04-11				Ocean biome§envo:01000048<§eco:0000205>Isolation location		Sea water§envo:00002149<§eco:0000205>Isolation source	Water				Bacteria_Archaea		Seawater		Pacific Ocean§GAZ:00000360			Monoisolate	Pacific Ocean region§gaz:00051073<§eco:0000313>Pacific Ocean§gaz:00000360																Sequencing for study the aminoacid recycled in ocean	Finished				UP000594871							Shandong university	122.3828	PacBio RS II Platform§rrid:SCR_017988	Alphaproteobacteria§taxonomy:28211<§eco:0000313>Thalassospira sp. A40-3§taxonomy:2785908	Thalassospiraceae§taxonomy:2844866<§eco:0000313>Thalassospira sp. A40-3§taxonomy:2785908			Thalassospira§taxonomy:168934<§eco:0000313>Thalassospira sp. A40-3§taxonomy:2785908			Rhodospirillales§taxonomy:204441<§eco:0000313>Thalassospira sp. A40-3§taxonomy:2785908	Thalassospira sp. A40-3§taxonomy:2785908	Proteobacteria§taxonomy:1224<§eco:0000313>Thalassospira sp. A40-3§taxonomy:2785908	Thalassospira sp. A40-3§taxonomy:2785908<§eco:0000313>Thalassospira sp. A40-3§taxonomy:2785908	A40-3		
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_015565955.1	bacdive:7377	bioproject:PRJNA675454	biosample:SAMN16708465	ena.embl:CP064760						resource_sequence:GCA_015565955.1	biotools:SOAPdenovo	v. 6.0.0.47841							1		67.52557		3296665			1		0																	mmp.ref:MMP16708465		Whole genome sequencing (WGS)		2018-04-11				Ocean biome§envo:01000048<§eco:0000205>Project name		Sea water§envo:00002149<§eco:0000205>Isolation source	Water				Bacteria_Archaea		seawater		Pacific Ocean§GAZ:00000360<§eco:0000205>Project name	Microbacterium schleiferi isolate:West Pacific Genome sequencing		Monoisolate	Pacific Ocean region§gaz:00051073<§eco:0000313>Pacific Ocean§gaz:00000360								28<§eco:0007759>BacDive accession						Mesophilic<§eco:0007759>BacDive accession		Sequencing for amino acid recycled in ocean	Finished				UP000594480							Shandong university	143	PacBio RS II Platform§rrid:SCR_017988	Actinomycetia§taxonomy:1760<§eco:0000313>Microbacterium schleiferi§taxonomy:69362	Microbacteriaceae§taxonomy:85023<§eco:0000313>Microbacterium schleiferi§taxonomy:69362			Microbacterium§taxonomy:33882<§eco:0000313>Microbacterium schleiferi§taxonomy:69362			Micrococcales§taxonomy:85006<§eco:0000313>Microbacterium schleiferi§taxonomy:69362	Microbacterium schleiferi§taxonomy:69362	Actinobacteria§taxonomy:201174<§eco:0000313>Microbacterium schleiferi§taxonomy:69362	Microbacterium schleiferi§taxonomy:69362<§eco:0000313>Microbacterium schleiferi§taxonomy:69362	A32-1		
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_015767595.1		bioproject:PRJNA675452	biosample:SAMN16708463	ena.embl:CP065229						resource_sequence:GCA_015767595.1	biotools:SOAPdenovo	v. 6.0.0.47841							1		60.81744		3525806			1		0																	mmp.ref:MMP16708463		Whole genome sequencing (WGS)		2018-04-11				Ocean biome§envo:01000048<§eco:0000205>Isolation location		Sea water§envo:00002149<§eco:0000205>Isolation source	Water				Bacteria_Archaea		Seawater		Pacific Ocean§GAZ:00000360			Monoisolate	Pacific Ocean region§gaz:00051073<§eco:0000313>Pacific Ocean§gaz:00000360																A30-3 Genome	Finished				UP000594846							Shandong university	102.3081	PacBio RS II Platform§rrid:SCR_017988	Alphaproteobacteria§taxonomy:28211<§eco:0000313>Erythrobacter sp. A30-3§taxonomy:2785907	Erythrobacteraceae§taxonomy:335929<§eco:0000313>Erythrobacter sp. A30-3§taxonomy:2785907			Erythrobacter§taxonomy:1041<§eco:0000313>Erythrobacter sp. A30-3§taxonomy:2785907			Sphingomonadales§taxonomy:204457<§eco:0000313>Erythrobacter sp. A30-3§taxonomy:2785907	Erythrobacter sp. A30-3§taxonomy:2785907	Proteobacteria§taxonomy:1224<§eco:0000313>Erythrobacter sp. A30-3§taxonomy:2785907	Erythrobacter sp. A30-3§taxonomy:2785907<§eco:0000313>Erythrobacter sp. A30-3§taxonomy:2785907	A30-3		
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_015601545.1	bacdive:14904	bioproject:PRJNA675425	biosample:SAMN16707685	ena.embl:CP064783						resource_sequence:GCA_015601545.1	CANU§biotools:canu	v. Apr-2016							1		73.366455		6796629			1		0																	mmp.ref:MMP16707685		Whole genome sequencing (WGS)		2012	China§gaz:00002845<§eco:0000313>China§gaz:00002845			Marine benthic biome§envo:01000024<§eco:0000205>Isolation source		Sediment§envo:00002007<§eco:0000205>Isolation source	Sediment				Bacteria_Archaea		Marine sediment		China§GAZ:00002845			Monoisolate	Asia§gaz:00000465<§eco:0000313>China§gaz:00002845								30<§eco:0007759>BacDive accession						Mesophilic<§eco:0007759>BacDive accession		Streptomyces albidoflavus W68	Finished	pubmed:33608297										Chinese Academy of Sciences	100	PacBio RS II Platform§rrid:SCR_017988	Actinomycetia§taxonomy:1760<§eco:0000313>Streptomyces albidoflavus§taxonomy:1886	Streptomycetaceae§taxonomy:2062<§eco:0000313>Streptomyces albidoflavus§taxonomy:1886			Streptomyces§taxonomy:1883<§eco:0000313>Streptomyces albidoflavus§taxonomy:1886			Streptomycetales§taxonomy:85011<§eco:0000313>Streptomyces albidoflavus§taxonomy:1886	Streptomyces albidoflavus§taxonomy:1886	Actinobacteria§taxonomy:201174<§eco:0000313>Streptomyces albidoflavus§taxonomy:1886	Streptomyces albidoflavus§taxonomy:1886<§eco:0000313>Streptomyces albidoflavus§taxonomy:1886	W68		
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_015644725.1		bioproject:PRJNA675397	biosample:SAMN16706820	ena.embl:CP064795						resource_sequence:GCA_015644725.1	SMRT Analysis§biotools:smrt_analysis	v. 3.0							1		49.680717		3765169			1		0																	mmp.ref:MMP16706820		Whole genome sequencing (WGS)		2019	South Korea§gaz:00002802<§eco:0000313>Jeju-do§gaz:00002803	KCTC:72817<§eco:0007758>pubmed:34170378|VTCC:910110<§eco:0007758>pubmed:34170378		Marine benthic biome§envo:01000024<§eco:0000205>Isolation source	Coast§envo:01000687<§eco:0007758>pubmed:34170378	Sediment§envo:00002007<§eco:0000205>Isolation source	Sediment	37.5	8		Bacteria_Archaea		Marine sediment	gmap:33.454167,126.307222<§eco:0007758>pubmed:34170378	Jeju-do§GAZ:00002803			Monoisolate	Pacific Ocean region§gaz:00051073<§eco:0000313>Jeju-do§gaz:00002803				Bacilli (Rod)<§eco:0007758>pubmed:34170378	Negative<§eco:0007758>pubmed:34170378	Halophilic<§eco:0007758>pubmed:34170378	Yes<§eco:0007758>pubmed:34170378	25<§eco:0007758>pubmed:34170378		Aerobic<§eco:0007758>pubmed:34170378				Mesophilic<§eco:0007758>pubmed:34170378	Yes	Isolation and characterization for Salinimonas sp. strain G2-b	Finished	pubmed:34170378			UP000595095							Jeju National University	230	PacBio RS II Platform§rrid:SCR_017988	Gammaproteobacteria§taxonomy:1236<§eco:0000313>Salinimonas marina§taxonomy:2785918	Alteromonadaceae§taxonomy:72275<§eco:0000313>Salinimonas marina§taxonomy:2785918			Salinimonas§taxonomy:288793<§eco:0000313>Salinimonas marina§taxonomy:2785918			Alteromonadales§taxonomy:135622<§eco:0000313>Salinimonas marina§taxonomy:2785918	Salinimonas marina§taxonomy:2785918	Proteobacteria§taxonomy:1224<§eco:0000313>Salinimonas marina§taxonomy:2785918	Salinimonas marina§taxonomy:2785918<§eco:0000313>Salinimonas marina§taxonomy:2785918	G2-b		
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_014931715.1		bioproject:PRJNA668887	biosample:SAMN16427069	ena.embl:CP063164						resource_sequence:GCA_014931715.1	biotools:SOAPdenovo	v. 1.05							1		42.490047		2209694			1		0																	mmp.ref:MMP16427069		Whole genome sequencing (WGS)		2019-12-15		MCCC:1A17954<§eco:0007758>pubmed:33734956|KCTC:25164<§eco:0007758>pubmed:33734956	2975<§eco:0007758>pubmed:33734956	Marine abyssal zone biome§envo:01000027<§eco:0000205>Depth|Ocean biome§envo:01000048<§eco:0000205>Isolation location	Marine hydrothermal vent§envo:01000122<§eco:0007758>pubmed:33734956|Mid-ocean ridge§envo:00000406<§eco:0007758>pubmed:33734956|Marine aphotic zone§envo:00000210<§eco:0000205>Depth	Hydrothermal fluid§envo:01000134<§eco:0007758>pubmed:33734956	Water				Bacteria_Archaea		Deep sea water samples		Carlsberg Ridge§GAZ:00143832<§eco:0007758>pubmed:33734956			Monoisolate	Indian Ocean region§gaz:00051084<§eco:0000313>Carlsberg Ridge§gaz:00143832				Cocci (Spherical)<§eco:0007758>pubmed:33734956	Negative<§eco:0007758>pubmed:33734956	Halophilic<§eco:0007758>pubmed:33734956	No<§eco:0007758>pubmed:33734956	37<§eco:0007758>pubmed:33734956					No<§eco:0007758>pubmed:33734956	Mesophilic<§eco:0007758>pubmed:33734956	Yes	In order to determine the taxonomic position of strain ST-419	Finished	pubmed:33734956			UP000595074							Third Institute of Oceanography, Ministry of Natural Resources	100	Illumina HiSeq Platform	Epsilonproteobacteria§taxonomy:29547<§eco:0000313>Sulfurovum indicum§taxonomy:2779528	Sulfurovaceae§taxonomy:2771472<§eco:0000313>Sulfurovum indicum§taxonomy:2779528			Sulfurovum§taxonomy:265570<§eco:0000313>Sulfurovum indicum§taxonomy:2779528			Campylobacterales§taxonomy:213849<§eco:0000313>Sulfurovum indicum§taxonomy:2779528	Sulfurovum indicum§taxonomy:2779528	Proteobacteria§taxonomy:1224<§eco:0000313>Sulfurovum indicum§taxonomy:2779528	Sulfurovum indicum§taxonomy:2779528<§eco:0000313>Sulfurovum indicum§taxonomy:2779528	ST-419		
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_015101885.1		bioproject:PRJNA661150	biosample:SAMN16281378	ena.embl:CP062941|ena.embl:CP062942						resource_sequence:GCA_015101885.1	PacBio SMRT Analysis§biotools:smrt_analysis	v. 2.3							2		64.698166		5347093			2		1																	mmp.ref:MMP16281378		Whole genome sequencing (WGS)		2019-10-09	South Korea§gaz:00002802<§eco:0000313>South Korea§gaz:00002802			Marine benthic biome§envo:01000024<§eco:0000205>Isolation source	Intertidal zone§envo:00000316<§eco:0000205>Isolation source	Sand§envo:01000017<§eco:0000205>Isolation source	Sediment				Bacteria_Archaea		Beach sand		South Korea§GAZ:00002802			Monoisolate	Asia§gaz:00000465<§eco:0000313>South Korea§gaz:00002802																Genome sequencing of Massilia sp. LPB0304	Finished											Korea University	140.63	PacBio RS II Platform§rrid:SCR_017988	Betaproteobacteria§taxonomy:28216<§eco:0000313>Massilia sp. LPB0304§taxonomy:2769491	Oxalobacteraceae§taxonomy:75682<§eco:0000313>Massilia sp. LPB0304§taxonomy:2769491			Massilia§taxonomy:149698<§eco:0000313>Massilia sp. LPB0304§taxonomy:2769491			Burkholderiales§taxonomy:80840<§eco:0000313>Massilia sp. LPB0304§taxonomy:2769491	Massilia sp. LPB0304§taxonomy:2769491	Proteobacteria§taxonomy:1224<§eco:0000313>Massilia sp. LPB0304§taxonomy:2769491	Massilia sp. LPB0304§taxonomy:2769491<§eco:0000313>Massilia sp. LPB0304§taxonomy:2769491	LPB0304		
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-07	insdc.gca:GCA_014840975.1		bioproject:PRJNA665543	biosample:SAMN16261141	ena.embl:CP062058						resource_sequence:GCA_014840975.1	CANU§biotools:canu	v. 1.5							1		40.8197		4942986			1		0																	mmp.ref:MMP16261141		Whole genome sequencing (WGS)		2013-03-28				Marine benthic biome§envo:01000024<§eco:0000205>Isolation source		Sediment§envo:00002007<§eco:0000205>Isolation source	Sediment				Bacteria_Archaea		Deep sediments					Monoisolate					Bacilli (Rod)<§eco:0007758>pubmed:33729617	Negative<§eco:0007758>pubmed:33729617		No<§eco:0007758>pubmed:33729617									Genome of Shewanella sp. WPAGA9	Finished	pubmed:33729617										Zhejiang Ocean University	430	ONT GridION Platform§rrid:SCR_017986	Gammaproteobacteria§taxonomy:1236<§eco:0000313>Shewanella sp. WPAGA9§taxonomy:2775245	Shewanellaceae§taxonomy:267890<§eco:0000313>Shewanella sp. WPAGA9§taxonomy:2775245			Shewanella§taxonomy:22<§eco:0000313>Shewanella sp. WPAGA9§taxonomy:2775245			Alteromonadales§taxonomy:135622<§eco:0000313>Shewanella sp. WPAGA9§taxonomy:2775245	Shewanella sp. WPAGA9§taxonomy:2775245	Proteobacteria§taxonomy:1224<§eco:0000313>Shewanella sp. WPAGA9§taxonomy:2775245	Shewanella sp. WPAGA9§taxonomy:2775245<§eco:0000313>Shewanella sp. WPAGA9§taxonomy:2775245	WPAGA9		
2022-01-10	0000-0002-2024-1798	2022-11-07	1.7	2022-11-23	insdc.gca:GCA_015732475.1		bioproject:PRJNA664348	biosample:SAMN16207084	ena.embl:CP061938|ena.embl:CP061939|ena.embl:CP061940						resource_sequence:GCA_015732475.1	PacBio SMRT Analysis§biotools:smrt_analysis	v. 5.0.1							3		46.170513		4178550			3		2																	mmp.ref:MMP16207084		Whole genome sequencing (WGS)	Guangxun DU	2016-12-04			4000	Ocean biome§envo:01000048<§eco:0000205>Isolation location|Marine abyssal zone biome§envo:01000027<§eco:0000205>Depth	Marine aphotic zone§envo:00000210<§eco:0000205>Depth	Sea water§envo:00002149<§eco:0000205>Isolation source	Water				Bacteria_Archaea		Sea water	gmap:-4.000000,88.000000<§eco:0007759>ENA BioSample accession	Indian Ocean§GAZ:00000372			Monoisolate	Indian Ocean region§gaz:00051084<§eco:0000313>Indian Ocean§gaz:00000372																Complete genome of Bacillus velezensis	Finished				UP000594574							First Institute of Oceanography, Ministry of Natural Resources (MNR)	228	Pacific Biosciences Technology	Bacilli§taxonomy:91061<§eco:0000313>Bacillus velezensis§taxonomy:492670	Bacillaceae§taxonomy:186817<§eco:0000313>Bacillus velezensis§taxonomy:492670			Bacillus \<firmicutes\>§taxonomy:1386<§eco:0000313>Bacillus velezensis§taxonomy:492670			Bacillales§taxonomy:1385<§eco:0000313>Bacillus velezensis§taxonomy:492670	Bacillus velezensis§taxonomy:492670	Firmicutes§taxonomy:1239<§eco:0000313>Bacillus velezensis§taxonomy:492670	Bacillus velezensis§taxonomy:492670<§eco:0000313>Bacillus velezensis§taxonomy:492670	FIO1408		
