base_ID	alt_elev	collection_date	depth	env_biome	env_feature	env_material	env_package	env_salinity	env_temp	geo_loc_name	geo_loc_name_GAZ	geo_loc_name_GAZ_ENVO	investigation_type	lat_lon	pathogenicity	project_name	assembly	isol_growth_condt	num_replicons	ref_biomaterial	microbe_package	sample_type	strain	isolation_source	collected_by	culture_collection	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names	bacdive_id	curation_date	implementation_date	mmp_biome	silva_accession_SSU	silva_accession_LSU	uniprot_proteome_id	assembly_accession_genbank	assembly_accession_refseq	bioproject_accession	biosample_accession	genbank_accession	NCBI_refseq_accession	NCBI_taxon_identifier	annotation_provider	annotation_date	annotation_pipeline	annotation_method	annotation_software_revision	features_annotated	genes	cds	pseudo_genes	rrnas	complete_rrnas	partial_rrnas	total_trnas	unique_trnas	ncrna	frameshifted_genes	host_common_name	host_scientific_name	organism	full_scientific_name	disease	publication_pmid	isolation_country	isolation_comments	comments	sequencing_centers	body_sample_site	body_sample_subsite	other_clinical	gram_stain	cell_shape	motility	sporulation	temperature_range	optimal_temperature	halotolerance	oxygen_requirement	plasmids	genome_length	gc_content	refseq_cds	biovar	other_typing	type_strain	seq_meth	sequencing_depth	contigs	n50	genome_status	host_sex	host_health_stage	host_age	serovar	pathovar	mmp_ID	updated_date	chebi_id	chebi_name	chembl_id	compound_name	uniprot_id	uniprot_description	antismash_types	antismash_clusters	analysis_project_type	estimated_completeness	estimated_contamination	strain_heterogeneity	qs	mapping	mapping_version	quality_assessment	quality_assessment_version	assembly_version	binning	binning_version
31	missing	missing	630	Marginal sea biome (ENVO:01000046)	Sea coast (ENVO:00000303)	Sediment (ENVO:00002007)	Sediment	missing	missing	Pacific Ocean|Washington state coast	Pacific Ocean	GAZ:00000360	Bacteria_Archaea	missing	missing	missing	missing	10.3354/ame038081	1	10.3354/ame038081	NA	Cell culture	W3-18-1	Marine sediment	Jim Fredrickson	missing	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella sp. W3-18-1	131567|2|1224|1236|135622|267890|22|351745	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella sp. W3-18-1	missing	2016-05-20	2016-11-27	Marine	13902	13902	UP000002597	GCA_000015185.1	GCF_000015185.1	PRJNA13902	SAMN02598315	CP000503	NC_008750.1	351745	NCBI	2015-07-31	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	4303	4173	79	9, 8, 8	9, 8, 8	0, 0, 0	101	22	3	38	NA	NA	Shewanella sp.	Shewanella sp. W3-18-1	Soft tissue infection	23811511	Pacific Ocean	This strain was isolated from Pacific Ocean marine sediments at a depth of 630 m.	Shewanella sp. W3-18-1. This strain was isolated from Pacific Ocean marine sediments at a depth of 630 m. Shewanella are facultatively anaerobic, Gram-negative bacteria, motile by polar flagella, rod-like, and generally associated with aquatic or marine environments. . They are capable of using a variety of compounds as electron acceptors, including oxygen, iron, manganese, uranium, nitrate, nitrite, fumarate, to name but a few. This ability makes Shewanella important for bioremediation of contaminated metals and radioactive wastes. The genus Shewanella comprises 36 recognized and hundreds of uncharacterized cultivable species.	DOE Joint Genome Institute	NA	NA	NA	Negative	Bacilli (Rod)	Yes	missing	Mesophilic	missing	missing	Facultative	0	4708381	44.63	4078	missing	missing	missing	Sanger	missing	1	4708381	Finished	NA	NA	NA	missing	missing	MMP02598315	missing	missing	missing	missing	missing	missing	missing	Aryl polyene cluster|Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Polyunsaturated fatty acid cluster - Other types of PKS cluster|Siderophore cluster	K-antigen (4%), APE Vf (45%), Lipopolysaccharide (31%), Alterochromides (9%), Desferrioxamine B (40%), Eicoseicosapentaenoic acid (21%), O-antigen (20%), Eicosapentaenoic acid (100%)	Whole genome sequencing (WGS)	99.94	0	0	99.94	missing	missing	CheckM	1.0.13	missing	missing	missing
32	missing	missing	missing	missing	Saline water aquarium (ENVO:00002197)	NA	Host-associated	missing	missing	USA|Mystic|Connecticut	Mystic	GAZ:00160921	Bacteria_Archaea	missing	Animal	missing	Newbler	12454148	1	12454148	NA	Cell culture	ATCC BAA-429|MIT 00-7128	Feces from beluga whale	missing	ATCC BAA-429|MIT 00-7128	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter cetorum	131567|2|1224|68525|29547|213849|72293|209|138563|182217	Cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter|Helicobacter cetorum|Helicobacter cetorum MIT 00-7128	missing	2016-05-20	2016-11-22	Marine	97501	97501	UP000005010	GCA_000259255.1	GCF_000259255.1	PRJNA97501	SAMN02603199	CP003479.1|CP003480.1	NC_017737.1|NC_017738.1	182217	NCBI	2015-08-18	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.1	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	1795	1748	47	2, 2, 2	2, 2, 2	0, 0, 0	39	23	1	30	Beluga whale	Delphinapterus leucas	Helicobacter cetorum	Helicobacter cetorum MIT 00-7128	Commensal	24358262	United States of America	Strain MIT 00-7128 was isolated from the faeces and gastric fluid of a captive Beluga whale in the Mystic Aquarium, Connecticut USA, which was displaying symptoms of lethargy and loss of appetite. It was found to have esophageal and forestomach ulcers. While it has not been proven these bacteria cause gastric ulcer disease H. cetorum does appear to be associated with gastritis (adapted from PMID 12454148).	Genome sequencing of new helicobacter species from animals; their comparison to Helicobacter pylori from humans. Gastric isolate from beluga whale from Mystic Aquarium in Connecticut.	Dept. Molec. Microbiology; Washington University Medical School in Saint Louis	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	1960112	34.53	1700	missing	missing	No	454 GS FLX Titanium	missing	2	1947646	Finished	missing	missing	missing	missing	missing	MMP02603199	missing	missing	missing	missing	missing	missing	missing	Putative fatty acid cluster|Putative cluster|Putative saccharide cluster	Lipo-oligosaccharide (13%)	Whole genome sequencing (WGS)	99.94	0	0	99.94	missing	missing	CheckM	1.0.13	missing	missing	missing
33	missing	1999-03	missing	missing	Sea beach (ENVO:00000092)	NA	Host-associated	missing	missing	USA|Massachusetts|Wellfleet Cape Cod	Cape Cod	GAZ:00008284	Bacteria_Archaea	missing	Animal	missing	Newbler	12454148	1	12454148	NA	Cell culture	MIT99-5656|ATCC BAA-540	Main stomach of a stranded wild Atlantic white-sided dolphin	missing	ATCC BAA-540|MIT 99-5656	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter cetorum	131567|2|1224|68525|29547|213849|72293|209|138563|1163745	Cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter|Helicobacter cetorum|Helicobacter cetorum MIT 99-5656	missing	2016-05-20	2016-11-22	Marine	97499	97499	UP000005013	GCA_000259275.1	GCF_000259275.1	PRJNA97499	SAMN02603198	CP003481.1|CP003482.1	NC_017735.1|NC_017736.1	1163745	NCBI	2015-08-13	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.1	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	1747	1702	81	2, 2, 2	2, 2, 2	0, 0, 0	38	24	1	58	Atlantic White-sided Dolphin	Lagenorhynchus acutus	Helicobacter cetorum	Helicobacter cetorum MIT 99-5656	Commensal	24358262	United States of America	Isolate from stranded wild Atlantic white-sided dolphin.Both animals died on the beach in March 1999 in Wellfleet Cape Cod, Mass.	Genome sequencing of new helicobacter species from animals; their comparison to Helicobacter pylori from humans. Gastric isolate from stranded wild Atlantic white-sided dolphin.	Dept. Molec. Microbiology; Washington University Medical School in Saint Louis	Stomach	missing	missing	missing	missing	Yes	missing	missing	missing	missing	missing	1	1847791	35.54	1623	missing	missing	No	454 GS FLX Titanium	missing	2	1833666	Finished	missing	Dead	missing	missing	missing	MMP02603198	missing	missing	missing	missing	missing	missing	missing	Putative fatty acid cluster|Putative cluster	NA	Whole genome sequencing (WGS)	99.77	0	0	99.77	missing	missing	CheckM	1.0.13	missing	missing	missing
34	missing	1974	NA	missing	missing	NA	Host-associated	missing	missing	USA|State of Oregon	State of Oregon	GAZ:00002515	Bacteria_Archaea	missing	Fish	missing	Celera assembler|DNASTAR SeqmanPro	missing	1	missing	NA	Cell culture	Big Creek 74	Aquatic	missing	missing	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	Yersinia ruckeri	131567|2|1224|1236|91347|543|629|29486	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Yersinia|Yersinia ruckeri	missing	2016-05-20	2016-11-22	Marine	278621	278621	UP000065265	GCA_000964565.1	GCF_000964565.1	PRJNA278621	SAMN03421018	CP011078.1	NZ_CP011078.1	29486	NCBI	2016-11-25	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.1	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3384	3269	79	8, 7, 7	8, 7, 7	0, 0, 0	84	24	12	46	Chinook salmon	Oncorhynchus tshawytscha	Yersinia ruckeri	Yersinia ruckeri strain Big Creek 74	Enteric redmouth disease	missing	United States of America	missing	Sequence of fish the second serological variety of salmonid fish pathogen of enteric redmouth disease	College of Biological Science; University of Guelph	missing	missing	missing	Negative	Bacilli (Rod)	Yes	missing	Psychrophilic	18	missing	Facultative	0	3699726	47.64	3282	missing	missing	missing	PacBio RS|Sanger	134	1	3699726	Finished	missing	missing	missing	missing	missing	MMP03421018	missing	missing	missing	missing	missing	missing	missing	Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Homoserine lactone cluster|Nonribosomal peptide synthetase cluster|Thiopeptide cluster	Thiomarinol (18%), Turnerbactin (46%), K-antigen (3%), K-antigen (4%), Polysaccharide B (6%), O-antigen (14%)	Whole genome sequencing (WGS)	99.55	0.07	0	99.2	missing	missing	CheckM	1.0.13	missing	missing	missing
36	missing	1975	missing	missing	missing	NA	Host-associated	missing	missing	France	French Republic	GAZ:00002940	Bacteria_Archaea	missing	Fish	missing	Gap4	missing	6	missing	NA	Cell culture	A449	Brown trout with furunculosis	Christian Michel	missing	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida	131567|2|1224|1236|135624|84642|642|645|29491|382245	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Aeromonadaceae|Aeromonas|Aeromonas salmonicida|Aeromonas salmonicida subsp. salmonicida|Aeromonas salmonicida subsp. salmonicida A449	missing	2016-05-20	2016-12-14	Marine	16723	16723	UP000000225	GCA_000196395.1	GCF_000196395.1	PRJNA16723	SAMN02603664	CP000644|AY301063|AY301064|AY301065|CP000645|CP000646	NC_009348.1|NC_004923.1|NC_004925.1|NC_004924.1|NC_009349.1|NC_009350	382245	NCBI	2015-08-13	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	4792	4652	286	10, 9, 9	10, 9, 9	0, 0, 0	111	25	13	182	Brown trout	Salmo trutta	Aeromonas salmonicida subsp. salmonicida	Aeromonas salmonicida subsp. salmonicida A449	Furunculosis	12932739|10.1186/1471-2164-9-427	France	Aeromonas salmonicida (strain A449) was isolated from a brown trout in the Eure River, France in 1975 and harbors one chromosome and 5 plasmids. Comparison to the related A.hydrophilia ATCC 7966 (AERHH) show the presence of numerous insertion sequence, some of which are still active and various other mobile elements lreading to substantial genome rearrangements. A.salmonicida is no longer mobile and has also recently lost a type IV and type VI secretion systems, thus probably avoiding the host immune system. It seems to be undergoing genome decay and adaptation to its specific host (adapted from PMID 18801193).	Aeromonas salmonicida subsp. salmonicida A449. Aeromonas salmonicida subsp. salmonicida A449 was isolated from a brown trout with furunculosis.	National Research Council Canada - Institute of Marine Biosciences	missing	missing	missing	Negative	Bacilli (Rod)	Yes	missing	Mesophilic	missing	missing	Facultative	5	5040537	58.18	4325	missing	missing	missing	LI-COR 4200|AB MegaBace 1000	missing	6	4702402	Finished	missing	missing	missing	missing	missing	MMP02603664	missing	missing	missing	missing	missing	missing	missing	Aryl polyene cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Homoserine lactone cluster|Nonribosomal peptide synthetase cluster	APE Ec (52%), Lipopolysaccharide (25%), O-antigen (21%), Enterobactin (20%), Orfamide (20%), Lipopolysaccharide (100%), Pseudomonine (100%)	Whole genome sequencing (WGS)	100	0.58	100	97.1	missing	missing	CheckM	1.0.13	4	missing	missing
37	missing	missing	missing	missing	missing	NA	Host-associated	missing	missing	Norway|Municipality of Hammerfest	Municipality of Hammerfest	GAZ:00043491	Bacteria_Archaea	missing	Fish	missing	missing	missing	2	missing	NA	Cell culture	LFI1238	Head kidney of cod	Elin Sandaker	missing	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	Aliivibrio salmonicida	131567|2|1224|1236|135623|641|511678|40269|316275	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Aliivibrio|Aliivibrio salmonicida|Aliivibrio salmonicida LFI1238	missing	2016-05-20	2016-12-14	Marine	30703	30703	UP000001730	GCA_000196495.1	GCF_000196495.1	PRJEA30703	SAMEA1705917	FM178379|FM178380|FM178382|FM178383|FM178384|FM178381	NC_011312|NC_011313|NC_011314|NC_011315|NC_011316|NC_011311	316275	NCBI	2016-08-19	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	4494	4349	345	13, 12, 12	13, 12, 12	0, 0, 0	104	22	4	153	Atlantic cod	Gadus morhua	Aliivibrio salmonicida	Aliivibrio salmonicida LFI1238	Cold-water vibriosis	19099551	Norway	missing	Aliivibrio salmonicida LFI1238. The genome sequence of this strain will provide information on infectivity and pathogenicity of this organism.	The Pathogen Sequencing Unit; The Wellcome Trust Sanger Institute|University of Tromso	Head kidney	missing	missing	Negative	Bacilli (Rod)	Yes	No	Psychrophilic	missing	missing	Facultative	4	4655661	38.97	4291	missing	missing	missing	AB 3730 Genetic Analyzer	missing	6	3325165	Finished	missing	missing	missing	missing	missing	MMP1705917	missing	missing	missing	missing	missing	missing	missing	Aryl polyene cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Homoserine lactone cluster|Siderophore cluster	Desferrioxamine B (60%), K-antigen (14%), K-antigen (14%), Exopolysaccharide (8%), Taxlllaid (4%), Menaquinone (16%), APE Vf (100%), Taxlllaid (4%), Taxlllaid (4%), O-antigen (14%), Taxlllaid (4%), Aerobactin (55%)	Whole genome sequencing (WGS)	99.39	1.71	66.67	90.84	missing	missing	CheckM	1.0.13	missing	missing	missing
39	missing	missing	missing	Marginal sea biome (ENVO:01000046)	Sea coast (ENVO:00000303)	Solid environmental material (ENVO:01000814)	Microbial mat/biofilm	missing	missing	USA|California|San Diego Bay	San Diego Bay	GAZ:00002513	Bacteria_Archaea	32.685200, -117.144500	Shellfish	missing	missing	missing	1	missing	NA	Cell culture	T6c|ATCC BAA-1087	Biofilm	missing	ATCC BAA-1087	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas atlantica	131567|2|1224|1236|135622|267888|53246|288|342610	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas|Pseudoalteromonas atlantica|Pseudoalteromonas atlantica T6c	missing	2016-05-20	2016-11-22	Marine	13454	13454	UP000001981	GCA_000014225.1	GCF_000014225.1	PRJNA13454	SAMN02598305	CP000388	NC_008228.1	342610	NCBI	2015-07-30	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	4464	4383	64	5, 5, 5	5, 5, 5	0, 0, 0	63	23	2	25	NA	NA	Pseudoalteromonas atlantica	Pseudoalteromonas atlantica T6c	Lobster shell disease	missing	United States of America	Isolated from a biofilm from San Diego Bay in California	Pseudoalteromonas atlanticaT6c. Pseudoalteromonas atlantica T6c(ATCC BAA-1087) was isolated from a biofilm from San Diego Bay in California. The genome of this organism will provide information on the production and regulation of compounds involved in biofilm formation; shell degradation; and virulence.	DOE Joint Genome Institute	NA	NA	NA	Negative	Bacilli (Rod)	Yes	No	Mesophilic	missing	missing	Aerobic	0	5187006	44.62	4297	missing	missing	No	Sanger	missing	1	5187006	Finished	NA	NA	NA	missing	missing	MMP02598305	missing	missing	missing	missing	missing	missing	missing	Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Homoserine lactone cluster|Homoserine lactone cluster - Putative saccharide cluster	K-antigen (3%), Xenocyloins (25%), Xenocyloins (25%), S-layer glycan (26%), Lipopolysaccharide (5%), Fengycin (13%), Emulsan (13%)	Whole genome sequencing (WGS)	100	0.51	0	97.45	missing	missing	CheckM	1.0.13	missing	missing	missing
40	missing	2014-03	missing	Marginal sea biome (ENVO:01000046)	Sea coast (ENVO:00000303)	NA	Host-associated	missing	missing	China|East China Sea|Zhoushan island	Zhoushan island	GAZ:00039574	Bacteria_Archaea	29.93, 122.27999999999997	missing	missing	SOAPdenovo	26969704	1	26969704	NA	Cell culture	HZ22|CGMCC1.11025|JCM 18496	Surface of brown seaweed	Zhejiang university	CGMCC1.11025|JCM 18496	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Algibacter	Algibacter alginolytica	131567|2|1783270|68336|976|117743|200644|49546|261827|1736674	Cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Algibacter|Algibacter sp. HZ22	missing	2016-05-20	2016-11-22	Marine	298144	298144	UP000057981	GCA_001310225.1	GCF_001310225.1	PRJNA298144	SAMN04156175	CP012898	NZ_CP012898.1	1736674	NCBI	2015-10-15	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.2	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3357	3307	31	2, 2, 2	2, 2, 2	0, 0, 0	40	22	1	14	Brown seaweed	Laminaria japonica	Algibacter sp.	Algibacter sp. HZ22	missing	26969704	China	The brown seaweed sample was collected from the Zhoushan Islands (Zhejiang,137 China) in March 2014.	To understand the degradation mechanism of this strain	Zhejiang University	missing	missing	missing	missing	missing	missing	missing	Mesophilic	37	missing	Aerobic	missing	3994771	31.80	3256	missing	missing	missing	Illumina HiSeq 2000	150	1	3994771	Finished	missing	missing	missing	missing	missing	MMP04156175	missing	missing	missing	missing	missing	missing	missing	Putative fatty acid cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Terpene cluster - Putative saccharide cluster	O-antigen (14%), Carotenoid (28%), Lipo-oligosaccharide (13%), O-antigen (15%)	Whole genome sequencing (WGS)	98.68	0.53	0	96.03	missing	missing	CheckM	1.0.13	2.04	missing	missing
41	missing	missing	missing	Ocean biome (ENVO:01000048)	Marine photic zone (ENVO:00000209)	NA	Host-associated	missing	missing	Indian Ocean	Indian Ocean	GAZ:00000372	Bacteria_Archaea	missing	missing	missing	SMRT Analysis	25903846	1	25903846	NA	Cell culture	Ma-11|KCTC 42284|CGMCC 1.14936|MCCC 1K00261	Culture broth of a marine microalga; Picochlorum sp. 122	South China Sea Instituteof Oceanology	KCTC 42284|CGMCC 1.14936|MCCC 1K00261	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Wenzhouxiangellaceae	Wenzhouxiangella	Wenzhouxiangella marina	131567|2|1224|1236|135613|1676141|1676142|1579979	Cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales|Wenzhouxiangellaceae|Wenzhouxiangella|Wenzhouxiangella marina	missing	2016-05-20	2016-11-22	Marine	288075	288075	UP000066624	GCA_001187785.1	GCF_001187785.1	PRJNA288075	SAMN03793171	CP012154	NZ_CP012154.1	1579979	NCBI	2015-08-21	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.1	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	3105	3055	17	1, 1, 1	1, 1, 1	0, 0, 0	49	22	1	4	Microalga	Picochlorum sp. 122	Wenzhouxiangella marina	Wenzhouxiangella marina strain KCTC 42284	missing	missing	Indian Ocean	Surface sea water in Indian Ocean	Genome sequencing of Wenzhouxiangella marina using PacBio RS II sequencing platform	Korea Research Institute of Bioscience and Biotechnology	NA	NA	NA	Negative	Bacilli (Rod)	No	No	Mesophilic	30	missing	Aerobic	missing	3675203	65.26	3016	missing	missing	Yes	PacBio RS II	106	1	3675203	Finished	NA	NA	NA	missing	missing	MMP03793171	2018-03-20	missing	missing	missing	missing	missing	missing	Aryl polyene cluster|Bacteriocin cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Lasso peptide cluster - Putative saccharide cluster|Terpene cluster	Calcium-dependent antibiotic (7%), Svaricin (6%), Xanthomonadin (21%)	Whole genome sequencing (WGS)	99.64	1.14	0	93.94	missing	missing	CheckM	1.0.13	2.3.0	missing	missing
42	missing	2001-03-20	0.5	Mediterranean sea biome (ENVO:01000047)	Sea coast (ENVO:00000303)	Sea water (ENVO:00002149)	Water	missing	missing	Spain|Blanes Bay Microbial Observatory	Bay of Blanes	GAZ:00002715	Bacteria_Archaea	41.666700, 2.800000	missing	missing	Celera Assembler	17215843	1	17215843	NA	Cell culture	MED134	Collected at a depth of 0.5 meter	University of Kalmar	missing	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Dokdonia	Dokdonia sp. MED134	131567|2|1783270|68336|976|117743|200644|49546|326319|313590	Cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Dokdonia|Dokdonia sp. MED134	missing	2016-05-20	2016-11-22	Marine	13544	13544	UP000004620	GCA_000152925.3	GCF_000152925.2	PRJNA13544	SAMN02436136	CP009301.1	NZ_CP009301.1	313590	NCBI	2015-08-16	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.1	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	2951	2896	39	3, 3, 3	3, 3, 3	0, 0, 0	42	22	1	2	NA	NA	Dokdonia	Dokdonia sp. MED134	missing	17215843|22003006|25136122	Mediterranean Sea	Bacteria were isolated from Northwest Mediterranean Sea surface water (0.5m depth) collected 1 km off the Catalan coast at the Blanes Bay Microbial Observatory (41u 409 N, 2u 489 E, Spain).	Dokdonia donghaensis MED134. This marine bacterium was collected in the Mediterranean Sea at a depth of 0.5 meter. It was isolated by plating on solid media.	Gordon and Betty Moore Foundation Marine Microbiology Initiative	NA	NA	NA	missing	missing	missing	missing	missing	missing	missing	missing	missing	3302549	38.16	2858	missing	missing	missing	Sanger	9	1	3302549	Finished	NA	NA	NA	missing	missing	MMP02436136	missing	missing	missing	missing	missing	missing	missing	Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Type III PKS cluster - Putative fatty acid cluster|Terpene cluster	Emulsan (18%), ET-743 (8%), Colanic acid (14%), Carotenoid (28%)	Whole genome sequencing (WGS)	99.62	0	0	99.62	missing	missing	CheckM	1.0.13	1.4	missing	missing
43	missing	2007-09	0	Marine pelagic biome (ENVO:01000023)	Marine photic zone (ENVO:00000209)	Sea water (ENVO:00002149)	Water	missing	missing	Western Pacific Ocean	Pacific Ocean	GAZ:00000360	Bacteria_Archaea	9.265833, 158.401666	missing	missing	Newbler	missing	1	missing	NA	Cell culture	KORDI-100	Surface sea water	missing	missing	Bacteria	Cyanobacteria	Unclassified	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. KORDI-100	131567|2|1783272|1117|1301283|1118|1129|1280380	Cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria|Oscillatoriophycideae|Chroococcales|Synechococcus|Synechococcus sp. KORDI-100	missing	2016-05-20	2016-11-22	Marine	207982	207982	UP000028591	GCA_000737535.1	GCF_000737535.1	PRJNA207982	SAMN02202183	CP006269.1	NZ_CP006269.1	1280380	NCBI	2016-11-25	NCBI Prokaryotic Genome Annotation Pipeline	Best-placed reference protein set; GeneMarkS+	4.1	Gene|CDS|rRNA|tRNA|ncRNA|repeat_region	2920	2872	50	2, 2, 2	1, 1, 1	0, 0, 0	45	23	4	21	NA	NA	Synechococcus sp.	Synechococcus sp. KORDI-100	missing	missing	Pacific Ocean	Isolated in surface water of tropical Westeren Pacific Ocean	Genome sequencing of marine Synechococcus sp. KORDI 100 was conducted. The strain was isolated in surface water of tropical Pacific Ocean.	Korea Institute of Ocean Science and Technology	NA	NA	NA	missing	Bacilli (Rod)	No	No	Mesophilic	missing	Moderate Halophilic	Aerobic	missing	2585814	61.37	2868	missing	missing	missing	454 GS FLX Titanium|Sanger	34	1	2585814	Finished	NA	NA	NA	missing	missing	MMP02202183	missing	missing	missing	missing	missing	missing	missing	Bacteriocin cluster|Bacteriocin cluster - Lanthipeptide cluster|Bacteriocin cluster - Terpene cluster|Putative fatty acid cluster|Putative cluster|Putative saccharide cluster|Type III PKS cluster|Terpene cluster - Putative fatty acid cluster	Streptomycin (2%), Colanic acid (14%), Diutan polysaccharide (12%)	Whole genome sequencing (WGS)	99.46	0	0	99.46	missing	missing	CheckM	1.0.13	2.3	missing	missing
